file,class,sampling_rate,delta,lag_samples,lag_seconds,K,mutual_information_bits
music1.wav,music,48000,0.1,1,2.0833333333333333e-05,20,0.8006021782611338
music10.wav,music,48000,0.1,1,2.0833333333333333e-05,20,1.0828713653650786
music2.wav,music,48000,0.1,1,2.0833333333333333e-05,20,0.6960958619398275
music3.wav,music,48000,0.1,1,2.0833333333333333e-05,20,0.797590711820514
music4.wav,music,48000,0.1,1,2.0833333333333333e-05,20,0.7821319825193834
music5.wav,music,48000,0.1,1,2.0833333333333333e-05,20,0.7488482826264177
music6.wav,music,48000,0.1,1,2.0833333333333333e-05,20,0.6245079277896808
music7.wav,music,48000,0.1,1,2.0833333333333333e-05,20,0.6181804772908286
music8.wav,music,48000,0.1,1,2.0833333333333333e-05,20,0.7424597848695897
music9.wav,music,48000,0.1,1,2.0833333333333333e-05,20,0.9116670504601881
noise1.wav,noise,48000,0.1,1,2.0833333333333333e-05,20,0.6735608231775048
noise10.wav,noise,48000,0.1,1,2.0833333333333333e-05,20,0.6687598073065874
noise2.wav,noise,48000,0.1,1,2.0833333333333333e-05,20,0.6536078059622609
noise3.wav,noise,48000,0.1,1,2.0833333333333333e-05,20,0.6610180425900347
noise4.wav,noise,48000,0.1,1,2.0833333333333333e-05,20,0.6596190634920376
noise5.wav,noise,48000,0.1,1,2.0833333333333333e-05,20,0.6692908729062357
noise6.wav,noise,48000,0.1,1,2.0833333333333333e-05,20,0.6614860250009067
noise7.wav,noise,48000,0.1,1,2.0833333333333333e-05,20,0.6485105392303553
noise8.wav,noise,48000,0.1,1,2.0833333333333333e-05,20,0.6630228018984204
noise9.wav,noise,48000,0.1,1,2.0833333333333333e-05,20,0.6679213202606866
music1.wav,music,48000,0.1,10,0.00020833333333333335,20,0.06573964753887512
music10.wav,music,48000,0.1,10,0.00020833333333333335,20,0.07581042359464553
music2.wav,music,48000,0.1,10,0.00020833333333333335,20,0.10508243270242056
music3.wav,music,48000,0.1,10,0.00020833333333333335,20,0.06912697082207388
music4.wav,music,48000,0.1,10,0.00020833333333333335,20,0.03761406918914763
music5.wav,music,48000,0.1,10,0.00020833333333333335,20,0.02798707682090019
music6.wav,music,48000,0.1,10,0.00020833333333333335,20,0.18846092414523197
music7.wav,music,48000,0.1,10,0.00020833333333333335,20,0.021646766518956168
music8.wav,music,48000,0.1,10,0.00020833333333333335,20,0.09158761409119039
music9.wav,music,48000,0.1,10,0.00020833333333333335,20,0.052201514322011644
noise1.wav,noise,48000,0.1,10,0.00020833333333333335,20,0.5327773573596927
noise10.wav,noise,48000,0.1,10,0.00020833333333333335,20,0.5163255187375375
noise2.wav,noise,48000,0.1,10,0.00020833333333333335,20,0.5123357887714884
noise3.wav,noise,48000,0.1,10,0.00020833333333333335,20,0.5128068516355835
noise4.wav,noise,48000,0.1,10,0.00020833333333333335,20,0.5234532812415484
noise5.wav,noise,48000,0.1,10,0.00020833333333333335,20,0.5286564749890177
noise6.wav,noise,48000,0.1,10,0.00020833333333333335,20,0.5287743988019381
noise7.wav,noise,48000,0.1,10,0.00020833333333333335,20,0.518802817443121
noise8.wav,noise,48000,0.1,10,0.00020833333333333335,20,0.5202587502581071
noise9.wav,noise,48000,0.1,10,0.00020833333333333335,20,0.5169067418221536
music1.wav,music,48000,0.1,100,0.0020833333333333333,20,0.022037455950366297
music10.wav,music,48000,0.1,100,0.0020833333333333333,20,0.030585720172813222
music2.wav,music,48000,0.1,100,0.0020833333333333333,20,0.027882247607241274
music3.wav,music,48000,0.1,100,0.0020833333333333333,20,0.003983594463444189
music4.wav,music,48000,0.1,100,0.0020833333333333333,20,0.021762034659202276
music5.wav,music,48000,0.1,100,0.0020833333333333333,20,0.011705080200804003
music6.wav,music,48000,0.1,100,0.0020833333333333333,20,0.042226637862371845
music7.wav,music,48000,0.1,100,0.0020833333333333333,20,0.013954758490823239
music8.wav,music,48000,0.1,100,0.0020833333333333333,20,0.022960531572630095
music9.wav,music,48000,0.1,100,0.0020833333333333333,20,0.033880011839858316
noise1.wav,noise,48000,0.1,100,0.0020833333333333333,20,0.07130153585410387
noise10.wav,noise,48000,0.1,100,0.0020833333333333333,20,0.06142614882429122
noise2.wav,noise,48000,0.1,100,0.0020833333333333333,20,0.06954542631078099
noise3.wav,noise,48000,0.1,100,0.0020833333333333333,20,0.07303866438830137
noise4.wav,noise,48000,0.1,100,0.0020833333333333333,20,0.07850295002597205
noise5.wav,noise,48000,0.1,100,0.0020833333333333333,20,0.07431501723800052
noise6.wav,noise,48000,0.1,100,0.0020833333333333333,20,0.07616470131049581
noise7.wav,noise,48000,0.1,100,0.0020833333333333333,20,0.07146880599521793
noise8.wav,noise,48000,0.1,100,0.0020833333333333333,20,0.06461812895486195
noise9.wav,noise,48000,0.1,100,0.0020833333333333333,20,0.055573083890214384
music1.wav,music,48000,0.1,1000,0.020833333333333332,20,0.01856822886075813
music10.wav,music,48000,0.1,1000,0.020833333333333332,20,0.01562888879785838
music2.wav,music,48000,0.1,1000,0.020833333333333332,20,0.014622826548461488
music3.wav,music,48000,0.1,1000,0.020833333333333332,20,0.002756985022272983
music4.wav,music,48000,0.1,1000,0.020833333333333332,20,0.011827016463071799
music5.wav,music,48000,0.1,1000,0.020833333333333332,20,0.005107129763972955
music6.wav,music,48000,0.1,1000,0.020833333333333332,20,0.018728671165923208
music7.wav,music,48000,0.1,1000,0.020833333333333332,20,0.005459326918919226
music8.wav,music,48000,0.1,1000,0.020833333333333332,20,0.013162744284590895
music9.wav,music,48000,0.1,1000,0.020833333333333332,20,0.017916699641861968
noise1.wav,noise,48000,0.1,1000,0.020833333333333332,20,0.17717408946131596
noise10.wav,noise,48000,0.1,1000,0.020833333333333332,20,0.16486698136144276
noise2.wav,noise,48000,0.1,1000,0.020833333333333332,20,0.17933713585080996
noise3.wav,noise,48000,0.1,1000,0.020833333333333332,20,0.18898553183685307
noise4.wav,noise,48000,0.1,1000,0.020833333333333332,20,0.19349896403920352
noise5.wav,noise,48000,0.1,1000,0.020833333333333332,20,0.18762054276282505
noise6.wav,noise,48000,0.1,1000,0.020833333333333332,20,0.1925039532207926
noise7.wav,noise,48000,0.1,1000,0.020833333333333332,20,0.18168837103724855
noise8.wav,noise,48000,0.1,1000,0.020833333333333332,20,0.1806802265512034
noise9.wav,noise,48000,0.1,1000,0.020833333333333332,20,0.15565950425362482
