n,log_hit_rate_A,log_hit_rate_B,hit_rate_A,hit_rate_B
1,1.1102230246251565e-16,1.1102230246251565e-16,1.0,1.0
2,-0.2415644752704904,-0.2415644752704904,0.7853981633974484,0.7853981633974484
3,-0.6470295833786546,-0.6470295833786546,0.523598775598299,0.523598775598299
4,-1.1762761311009262,-1.1762761311009262,0.30842513753404244,0.30842513753404244
5,-1.8048847905233005,-1.8048847905233005,0.16449340668482262,0.16449340668482262
6,-2.5164528950395257,-2.5164528950395257,0.08074551218828083,0.08074551218828083
7,-3.299212234289159,-3.299212234289159,0.03691223414321406,0.03691223414321406
8,-4.144311731429907,-4.144311731429907,0.01585434424381551,0.01585434424381551
9,-5.044854106335923,-5.044854106335923,0.006442400200661538,0.006442400200661538
10,-5.995314119134498,-5.995314119134498,0.00249039457019272,0.00249039457019272
11,-6.991166673844838,-6.991166673844838,0.0009199725973583503,0.0009199725973583503
12,-8.028638063633043,-8.028638063633043,0.0003259918869273903,0.0003259918869273903
13,-9.10453332601692,-9.10453332601692,0.00011116073666788133,0.00011116073666788133
14,-10.216112687958848,-10.216112687958848,3.657620418217723e-05,3.657620418217723e-05
15,-11.361000821829675,-11.361000821829675,1.1640725122781519e-05,1.1640725122781519e-05
16,-12.537118704909174,-12.537118704909174,3.590860448591509e-06,3.590860448591509e-06
17,-13.742631460596437,-13.742631460596437,1.0756004861231927e-06,1.0756004861231927e-06
18,-14.975907757515882,-14.975907757515882,3.1336168903781254e-07,3.1336168903781254e-07
19,-16.235487734473423,-16.235487734473423,8.892364698426918e-08,8.892364698426918e-08
20,-17.52005732578042,-17.52005732578042,2.461136950494197e-08,2.461136950494197e-08
21,-18.828427466907392,-18.828427466907392,6.651473240385524e-09,6.651473240385524e-09
22,-20.15951707384928,-20.15951707384928,1.7572476734434028e-09,1.7572476734434028e-09
23,-21.51233897754709,-21.51233897754709,4.542656405987877e-10,4.542656405987877e-10
24,-22.885988198907768,-22.885988198907768,1.1501159127974093e-10,1.1501159127974093e-10
25,-24.279632097125834,-24.279632097125834,2.8542351985668265e-11,2.8542351985668265e-11
26,-25.692502031639798,-25.692502031639798,6.9484532738866365e-12,6.9484532738866365e-12
27,-27.12388625784071,-27.12388625784071,1.6605267280435066e-12,1.6605267280435066e-12
28,-28.57312383652555,-28.57312383652555,3.898073171259667e-13,3.898073171259667e-13
29,-30.039599382537727,-30.039599382537727,8.994307879156872e-14,8.994307879156872e-14
30,-31.52273851289825,-31.52273851289825,2.0410263396641395e-14,2.0410263396641395e-14
31,-33.02200388173342,-33.02200388173342,4.557492186658712e-15,4.557492186658712e-15
32,-34.536891710408526,-34.536891710408526,1.0018864616362664e-15,1.0018864616362664e-15
33,-36.066928737910445,-36.066928737910445,2.1693612079393758e-16,2.1693612079393758e-16
34,-37.611669529735224,-37.611669529735224,4.628704628834696e-17,4.628704628834696e-17
35,-39.170694094110395,-39.170694094110395,9.7360703340644e-18,9.7360703340644e-18
36,-40.74360576290188,-40.74360576290188,2.019653396886687e-18,2.019653396886687e-18
37,-42.33002930146516,-42.33002930146516,4.1333468968014034e-19,4.1333468968014034e-19
38,-43.929609217338815,-43.929609217338815,8.348589834811655e-20,8.348589834811655e-20
39,-45.54200824230536,-45.54200824230536,1.664781057144793e-20,1.664781057144793e-20
40,-47.1669059661633,-47.1669059661633,3.278483561609832e-21,3.278483561609832e-21
41,-48.80399760372021,-48.80399760372021,6.378126754831123e-22,6.378126754831123e-22
42,-50.45299287915721,-50.45299287915721,1.226149984770047e-22,1.226149984770047e-22
43,-52.11361501412432,-52.11361501412432,2.3299390879816216e-23,2.3299390879816216e-23
44,-53.785599807786014,-53.785599807786014,4.377345209491838e-24,4.377345209491838e-24
45,-55.468694798605185,-55.468694798605185,8.133021691238635e-25,8.133021691238635e-25
46,-57.16265849898566,-57.16265849898566,1.494764733952825e-25,1.494764733952825e-25
47,-58.8672596950258,-58.8672596950258,2.718153318795894e-26,2.718153318795894e-26
48,-60.582276804604085,-60.582276804604085,4.89160615315764e-27,4.89160615315764e-27
49,-62.30749728784696,-62.30749728784696,8.713602548632689e-28,8.713602548632689e-28
50,-64.04271710474278,-64.04271710474278,1.5367433955014645e-28,1.5367433955014645e-28
51,-65.78774021528183,-65.78774021528183,2.68378330912605e-29,2.68378330912605e-29
52,-67.54237811803475,-67.54237811803475,4.6421363093846615e-30,4.6421363093846615e-30
53,-69.3064494235445,-69.3064494235445,7.954107479035108e-31,7.954107479035108e-31
54,-71.07977945930956,-71.07977945930956,1.3503427154190134e-31,1.3503427154190134e-31
55,-72.8621999034875,-72.8621999034875,2.271687783818279e-32,2.271687783818279e-32
56,-74.65354844475527,-74.65354844475527,3.787702459454284e-33,3.787702459454284e-33
57,-76.45366846603261,-76.45366846603261,6.260278642888621e-34,6.260278642888621e-34
58,-78.26240875001223,-78.26240875001223,1.0258119155694567e-34,1.0258119155694567e-34
59,-80.07962320464887,-80.07962320464887,1.6667157113495e-35,1.6667157113495e-35
60,-81.90517060694486,-81.90517060694486,2.685569314931589e-36,2.685569314931589e-36
61,-83.73891436353271,-83.73891436353271,4.291919536392073e-37,4.291919536392073e-37
62,-85.5807222867005,-85.5807222867005,6.804003895560649e-38,6.804003895560649e-38
63,-87.4304663846348,-87.4304663846348,1.0701161020101408e-38,1.0701161020101408e-38
64,-89.28802266477072,-89.28802266477072,1.6699538010382586e-39,1.6699538010382586e-39
65,-91.15327094924098,-91.15327094924098,2.5860529881255506e-40,2.5860529881255506e-40
66,-93.0260947015077,-93.0260947015077,3.9744807524061314e-41,3.9744807524061314e-41
67,-94.9063808633425,-94.9063808633425,6.062929156185835e-42,6.062929156185835e-42
68,-96.79401970139435,-96.79401970139435,9.181029068818542e-43,9.181029068818542e-43
69,-98.6889046626503,-98.6889046626503,1.3802357750948509e-43,1.3802357750948509e-43
70,-100.59093223815424,-100.59093223815424,2.0602181053567902e-44,2.0602181053567902e-44
71,-102.50000183440218,-102.50000183440218,3.0536187121547204e-45,3.0536187121547204e-45
72,-104.41601565188085,-104.41601565188085,4.494698655959353e-46,4.494698655959353e-46
73,-106.3388785702611,-106.3388785702611,6.570702817102585e-47,6.570702817102585e-47
74,-108.26849803979553,-108.26849803979553,9.540886674096192e-48,9.540886674096192e-48
75,-110.20478397850798,-110.20478397850798,1.3761647799420567e-48,1.3761647799420567e-48
76,-112.14764867479245,-112.14764867479245,1.9719460186889532e-49,1.9719460186889532e-49
77,-114.0970066950722,-114.0970066950722,2.8073695862305326e-50,2.8073695862305326e-50
78,-116.05277479619258,-116.05277479619258,3.971186618967243e-51,3.971186618967243e-51
79,-118.01487184224976,-118.01487184224976,5.5820327012742226e-52,5.5820327012742226e-52
80,-119.98321872557702,-119.98321872557702,7.797406692613398e-53,7.797406692613398e-53
81,-121.95773829163271,-121.95773829163271,1.0824983287914647e-53,1.0824983287914647e-53
82,-123.9383552675518,-123.9383552675518,1.4936753404004e-54,1.4936753404004e-54
83,-125.9249961941399,-125.9249961941399,2.0486559019604517e-55,2.0486559019604517e-55
84,-127.91758936110566,-127.91758936110566,2.7931663549107994e-56,2.7931663549107994e-56
85,-129.91606474534072,-129.91606474534072,3.785907253725034e-57,3.785907253725034e-57
86,-131.92035395206972,-131.92035395206972,5.1017388958382925e-58,5.1017388958382925e-58
87,-133.93039015870588,-133.93039015870588,6.835504836479623e-59,6.835504836479623e-59
88,-135.94610806125846,-135.94610806125846,9.106582633919934e-60,9.106582633919934e-60
89,-137.96744382314856,-137.96744382314856,1.2064253807787629e-60,1.2064253807787629e-60
90,-139.99433502629932,-139.99433502629932,1.589398505668311e-61,1.589398505668311e-61
91,-142.02672062437594,-142.02672062437594,2.082470941405975e-62,2.082470941405975e-62
92,-144.06454089805885,-144.06454089805885,2.713718841866552e-63,2.713718841866552e-63
93,-146.10773741223974,-146.10773741223974,3.517352371416785e-64,3.517352371416785e-64
94,-148.15625297503942,-148.15625297503942,4.534786796551052e-65,4.534786796551052e-65
95,-150.21003159855087,-150.21003159855087,5.815835984278503e-66,5.815835984278503e-66
96,-152.2690184612178,-152.2690184612178,7.420027544604616e-67,7.420027544604616e-67
97,-154.3331598717648,-154.3331598717648,9.418034846748773e-68,9.418034846748773e-68
98,-156.40240323459892,-156.40240323459892,1.1893216338552863e-68,1.1893216338552863e-68
99,-158.47669701660993,-158.47669701660993,1.4943247013029521e-69,1.4943247013029521e-69
100,-160.55599071529753,-160.55599071529753,1.8681820538376488e-70,1.8681820538376488e-70
